B,NC,1
C#,m,16
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,8
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,4
A,M,4
E,M,4
B,M,4
C#,m,8
