C#,m,2
A,M,4
F#,m,2
B,M,2
C#,m,8
A,M,4
F#,m,2
B,M,2
C#,m,4
B,M,4
C#,m,8
B,M,8
C#,m,8
B,M,8
C#,m,8
B,M,8
F#,m,8
B,M,8
C#,m,8
B,M,8
C#,m,8
B,M,8
C#,m,8
B,M,8
F#,m,8
B,M,8
A,M,8
C#,m,8
A,M,8
C#,m,4
B,M,4
C#,m,8
B,M,8
C#,m,8
B,M,8
C#,m,8
B,M,8
F#,m,8
B,M,8
C#,m,8
B,M,8
C#,m,8
B,M,8
C#,m,8
B,M,8
F#,m,8
B,M,8
A,M,8
C#,m,8
A,M,8
C#,m,4
B,M,4
C#,m,4
B,M,4
A,M,4
B,M,4
E,M,4
F#,m,4
E,M,4
F#,m,4
C#,m,8
B,M,8
C#,m,8
B,M,8
C#,m,8
B,M,8
F#,m,8
B,M,8
A,M,8
C#,m,8
A,M,8
C#,m,8
A,M,8
C#,m,8
A,M,8
C#,m,4
B,M,4
C#,m,36
