C,m,2
G#,M,4
F,m,2
A#,M,2
C,m,8
G#,M,4
F,m,2
A#,M,2
C,m,4
A#,M,4
C,m,8
A#,M,8
C,m,8
A#,M,8
C,m,8
A#,M,8
F,m,8
A#,M,8
C,m,8
A#,M,8
C,m,8
A#,M,8
C,m,8
A#,M,8
F,m,8
A#,M,8
G#,M,8
C,m,8
G#,M,8
C,m,4
A#,M,4
C,m,8
A#,M,8
C,m,8
A#,M,8
C,m,8
A#,M,8
F,m,8
A#,M,8
C,m,8
A#,M,8
C,m,8
A#,M,8
C,m,8
A#,M,8
F,m,8
A#,M,8
G#,M,8
C,m,8
G#,M,8
C,m,4
A#,M,4
C,m,4
A#,M,4
G#,M,4
A#,M,4
D#,M,4
F,m,4
D#,M,4
F,m,4
C,m,8
A#,M,8
C,m,8
A#,M,8
C,m,8
A#,M,8
F,m,8
A#,M,8
G#,M,8
C,m,8
G#,M,8
C,m,8
G#,M,8
C,m,8
G#,M,8
C,m,4
A#,M,4
C,m,36
