F,m,2
C#,M,4
A#,m,2
D#,M,2
F,m,8
C#,M,4
A#,m,2
D#,M,2
F,m,4
D#,M,4
F,m,8
D#,M,8
F,m,8
D#,M,8
F,m,8
D#,M,8
A#,m,8
D#,M,8
F,m,8
D#,M,8
F,m,8
D#,M,8
F,m,8
D#,M,8
A#,m,8
D#,M,8
C#,M,8
F,m,8
C#,M,8
F,m,4
D#,M,4
F,m,8
D#,M,8
F,m,8
D#,M,8
F,m,8
D#,M,8
A#,m,8
D#,M,8
F,m,8
D#,M,8
F,m,8
D#,M,8
F,m,8
D#,M,8
A#,m,8
D#,M,8
C#,M,8
F,m,8
C#,M,8
F,m,4
D#,M,4
F,m,4
D#,M,4
C#,M,4
D#,M,4
G#,M,4
A#,m,4
G#,M,4
A#,m,4
F,m,8
D#,M,8
F,m,8
D#,M,8
F,m,8
D#,M,8
A#,m,8
D#,M,8
C#,M,8
F,m,8
C#,M,8
F,m,8
C#,M,8
F,m,8
C#,M,8
F,m,4
D#,M,4
F,m,36
