G#,m,2
E,M,4
C#,m,2
F#,M,2
G#,m,8
E,M,4
C#,m,2
F#,M,2
G#,m,4
F#,M,4
G#,m,8
F#,M,8
G#,m,8
F#,M,8
G#,m,8
F#,M,8
C#,m,8
F#,M,8
G#,m,8
F#,M,8
G#,m,8
F#,M,8
G#,m,8
F#,M,8
C#,m,8
F#,M,8
E,M,8
G#,m,8
E,M,8
G#,m,4
F#,M,4
G#,m,8
F#,M,8
G#,m,8
F#,M,8
G#,m,8
F#,M,8
C#,m,8
F#,M,8
G#,m,8
F#,M,8
G#,m,8
F#,M,8
G#,m,8
F#,M,8
C#,m,8
F#,M,8
E,M,8
G#,m,8
E,M,8
G#,m,4
F#,M,4
G#,m,4
F#,M,4
E,M,4
F#,M,4
B,M,4
C#,m,4
B,M,4
C#,m,4
G#,m,8
F#,M,8
G#,m,8
F#,M,8
G#,m,8
F#,M,8
C#,m,8
F#,M,8
E,M,8
G#,m,8
E,M,8
G#,m,8
E,M,8
G#,m,8
E,M,8
G#,m,4
F#,M,4
G#,m,36
