C#,NC,1
D#,m,16
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,8
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,4
B,M,4
F#,M,4
C#,M,4
D#,m,8
