A#,NC,1
C,m,16
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,8
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,4
G#,M,4
D#,M,4
A#,M,4
C,m,8
