F#,NC,1
G#,m,16
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,8
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,4
E,M,4
B,M,4
F#,M,4
G#,m,8
